GeneInfo	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_016264-RA	0	0	0	0	0	1	0	0	0	0	0	0
Caust.v2_016275-RA	0	0	0	0	0	1	0	0	0	0	0	0
Caust.v2_016269-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016268-RA	34	19	24	34	28	67	141	235	318	265	84	16
Caust.v2_016270-RA	0	0	0	0	0	0	0	0	2	0	1	0
Caust.v2_016265-RA	0	0	0	0	0	0	0	0	1	1	0	0
Caust.v2_016267-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016274-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021643-RA	10	26	11	33	29	5	3	18	14	12	15	2
Caust.v2_022702-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021012-RA	6	5	3	7	4	3	4	3	7	1	8	5
Caust.v2_017973-RA	105	90	84	151	91	93	97	149	98	93	75	202
Caust.v2_017974-RA	9	2	0	0	2	0	2	5	8	2	3	3
Caust.v2_017975-RA	0	1	3	0	0	0	0	0	1	2	1	0
Caust.v2_017976-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017977-RA	0	2	0	0	0	0	0	0	0	0	0	0
Caust.v2_019909-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019911-RA	0	0	0	0	0	0	0	0	1	0	2	0
Caust.v2_019910-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021196-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022040-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020780-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008459-RA	1451	711	1066	992	717	1425	1699	1860	1110	1448	1105	2293
Caust.v2_008460-RB	29	30	27	30	38	15	14	38	19	33	42	20
Caust.v2_008460-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008460-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008460-RB	29	15	39	23	8	22	27	33	11	23	37	32
Caust.v2_008460-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008460-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008461-RA	1173	1235	1199	1290	1248	1006	733	894	1270	927	1032	949
Caust.v2_008463-RA	156	103	94	117	45	97	103	101	132	135	102	85
Caust.v2_008465-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008468-RA	0	0	1	0	0	0	0	1	0	0	1	1
Caust.v2_008470-RA	236	115	185	193	147	212	306	321	141	160	151	274
Caust.v2_008475-RA	9	6	7	4	1	12	7	14	2	3	2	2
Caust.v2_008477-RA	14	17	13	1	15	0	30	0	0	17	23	42
Caust.v2_008481-RA	519	478	425	439	236	595	458	640	452	368	334	651
Caust.v2_008483-RA	11195	9361	11966	10678	8060	8700	11681	12711	8966	8990	9128	14505
Caust.v2_008486-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008486-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008486-RA	1568	2040	2930	3179	2893	1526	1129	2859	1984	1409	2787	1970
Caust.v2_008486-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008486-RB	0	2	0	0	1	0	0	0	0	0	0	0
Caust.v2_008488-RA	1069	446	633	1086	398	979	2761	2806	658	924	838	3994
Caust.v2_008489-RA	122	56	55	96	42	63	98	124	48	78	88	138
Caust.v2_008490-RA	3690	2125	2706	2994	2025	3605	3828	4157	2892	2791	2736	4443
Caust.v2_008464-RA	2712	2029	2562	2715	1954	2532	2318	3090	2426	2106	2098	2643
Caust.v2_008466-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008466-RB	313	425	438	763	428	286	344	789	1038	590	571	248
Caust.v2_008466-RB	4411	8904	5631	4251	6142	3428	2745	1714	6446	4277	2389	1927
Caust.v2_008467-RA	0	0	0	0	0	0	0	0	0	0	0	0
