GeneInfo	BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
XM_020865475.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020865553.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320804.2	30	27	23	22	26	43	42	36	23	15	22	15
XM_020865567.1	1	0	0	1	1	0	0	1	2	0	0	1
XR_002307945.1	1	2	1	0	1	0	2	0	0	0	0	1
XM_003392951.3	1073	1305	909	1113	998	1229	1373	1038	1085	1034	1196	868
XM_020866128.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020866079.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392950.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320909.2	0	1	5	3	0	4	1	2	1	4	0	0
XM_012320904.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320901.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320876.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020866335.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392952.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320898.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020866319.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020866350.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020866292.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020866209.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320869.2	885	515	886	655	493	509	629	573	633	691	360	514
XM_012320927.2	258	357	322	368	276	343	369	295	282	234	232	303
XM_012320919.2	857	1362	1102	1059	913	1085	1079	1071	927	714	879	897
XM_012320937.2	244	451	360	408	346	378	486	335	353	244	291	326
XM_003392954.3	3017	5283	3018	2150	3159	3899	2388	4028	2939	1617	1696	4044
XM_003392963.3	802	1167	942	907	803	998	999	846	887	748	722	834
XM_003392966.3	541	792	517	514	544	655	565	499	567	466	420	666
XM_012320963.2	525	409	496	447	437	424	557	479	367	462	309	324
XM_003392967.3	436	645	575	637	422	467	644	477	489	401	445	461
XM_003392958.3	253	246	213	265	185	210	290	224	226	256	199	193
XM_012321067.2	3360	4938	3118	3433	3513	4061	4469	3572	3333	2740	3203	3253
XM_012321060.1	118	133	142	134	104	115	133	114	116	94	82	128
XM_012321047.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392960.3	0	0	0	2	1	0	0	1	0	1	0	1
XM_003392959.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012321039.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012321023.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012321016.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320999.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012321004.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392957.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012321010.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392955.3	1084	1263	1196	1125	1025	1007	1603	1127	977	890	838	950
XM_003392961.3	1324	2109	882	2516	1493	1808	2014	2145	1991	1777	1670	1304
XM_003392962.3	35	33	34	21	20	20	29	25	32	28	20	19
XM_012321120.1	26	26	16	19	27	21	29	24	19	19	30	24
XM_012321106.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012321117.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012321124.2	0	0	0	0	0	0	0	0	0	0	0	0
NM_001308306.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392969.3	404	751	461	590	501	733	664	484	533	521	581	503
XM_012321152.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012321148.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012321142.2	682	792	604	689	554	599	725	576	506	618	595	531
XR_002307884.1	6	23	10	14	12	18	3	17	26	17	6	11
XM_020863795.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863791.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863793.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012309408.2	13	9	15	4	10	7	5	10	4	8	6	0
